Time,Amplitude_Envelope_P1,Amplitude_Envelope_P2,Filtered_ECG_P1,Filtered_ECG_P2,Filtered_Respiration_P1,Filtered_Respiration_P2,Filtered_EMG_Bicep_P1,Filtered_EMG_Tricep_P1,Filtered_EMG_Bicep_P2,Filtered_EMG_Tricep_P2,right_index_x_P1,right_index_y_P1,right_index_z_P1,right_index_x_P2,right_index_y_P2,right_index_z_P2,ConditionVision,ConditionMovement,Trial
0.07200000000000001,0.006475318647652107,0.007987383400682469,75.54636208292115,63.69990268070424,0.12280862821454333,12.801014028625664,0.006452373150610196,0.005010513228595446,0.01585493050492125,0.004156573122928673,-596.3627834753094,3590.308722464027,613.5100716717274,435.2252886680847,3428.8964928378414,-81.74923622574815,Vision,Movement,2
0.073,0.0064752542208365935,0.0079842482115034,75.54636208292115,63.69990268070424,0.12332982103600404,12.799938607538659,0.006428890684267407,0.004995571734846861,0.015410660576958031,0.004155127784507455,-596.3895509761525,3590.386148015459,613.5451500581263,435.0117199252681,3428.9597241725837,-81.43279968265058,Vision,Movement,2
0.074,0.006475196129126737,0.007981162139255668,75.54636208292115,63.69990268070424,0.12385209290641423,12.798842512444057,0.006395775418476992,0.004978920857283656,0.014929621363204172,0.004164092199528577,-596.4163184769957,3590.4635735668912,613.5802284445251,434.7981511824515,3429.0229555073256,-81.11636313955302,Vision,Movement,2
0.075,0.006475144003031937,0.007978132886535351,75.54636208292115,63.69990268070424,0.12437543950591555,12.797725651937276,0.006353251331230591,0.004960999841556685,0.014418189341734427,0.00418440778265539,-596.4430859778388,3590.5409991183233,613.615306830924,434.5845824396348,3429.086186842068,-80.79992659645545,Vision,Movement,2
0.076,0.006475097477985965,0.007975167255870467,75.54636208292115,63.69990268070424,0.12489985649185045,12.796587934740796,0.006301629159909384,0.004942222160986302,0.013883100907736996,0.004216877288176573,-596.469853478682,3590.6184246697553,613.6503852173229,434.3710136968182,3429.14941817681,-80.48349005335788,Vision,Movement,2
0.077,0.006475056195159778,0.007972271195842855,75.54636208292115,63.69990268070424,0.12542533949886797,12.795429269702826,0.0062413051410106415,0.004922964207173774,0.013331336731603718,0.004262149955601015,-596.4966209795251,3590.6958502211874,613.6854636037217,434.15744495400156,3429.212649511552,-80.16705351026032,Vision,Movement,2
0.078,0.006475019802187836,0.007969450012784143,75.54636208292115,63.69990268070424,0.125951884139458,12.794249565806046,0.006172759188277528,0.0049035553594878436,0.012770002674917954,0.004320709311638296,-596.5233884803683,3590.7732757726194,613.7205419901206,433.94387621118494,3429.275880846294,-79.85061696716275,Vision,Movement,2
0.079,0.006474987953812415,0.007966708682054681,75.54636208292115,63.69990268070424,0.1264794860022146,12.793048732166213,0.006096552341289309,0.004884269562449294,0.012206209643433387,0.004392863550025326,-596.534105609794,3590.8051432391694,613.7481047408602,433.7318945743168,3429.3465643005907,-79.53366951418852,Vision,Movement,2
0.08,0.006474960312451818,0.00796405173813259,75.54636208292115,63.69990268070424,0.12700814065472596,12.791826678035868,0.006013323336805022,0.004865318558536053,0.011646954560007236,0.004478738342707896,-596.5419330697084,3590.828808539835,613.7743143949854,433.5294973483704,3429.462250532497,-79.21363671571086,Vision,Movement,2
0.081,0.006474936548697296,0.007961483140203252,75.54636208292115,63.69990268070424,0.12753784364179763,12.790583312807012,0.005923784178786753,0.004846846988546236,0.01109900451281553,0.004578271897135967,-596.5497605296227,3590.8524738405,613.8005240491105,433.32710012242393,3429.5779367644036,-78.89360391723322,Vision,Movement,2
0.082,0.006474916341745056,0.007959006100117884,75.54636208292115,63.69990268070424,0.1280685904860312,12.789318546014808,0.005828714577774671,0.004828929593015373,0.010568786094635777,0.004691212073673309,-596.5575879895371,3590.8761391411654,613.8267337032357,433.1247028964775,3429.6936229963103,-78.57357111875557,Vision,Movement,2
0.083,0.00647489937976728,0.007956623067822704,75.54636208292115,63.69990268070424,0.1286003766883618,12.78803228733582,0.005728955125474945,0.004811570694770887,0.010062281899488634,0.004817115427213809,-596.5654154494514,3590.899804441831,613.852943357361,432.92230567053105,3429.8093092282165,-78.25353832027793,Vision,Movement,2
0.084,0.006474885360227741,0.007954335927244585,75.54636208292115,63.69990268070424,0.12913319772631102,12.78672444659742,0.005625399116890877,0.004794706047224881,0.009584936048239786,0.004955348146369835,-596.5732429093657,3590.9234697424963,613.8791530114862,432.7199084445846,3429.9249954601232,-77.93350552180027,Vision,Movement,2
